Course Title,Description,Category,Skill Level,Duration,Free Time Hours,Education,Gender,State,Age,Hobby,Course Link,Rating,Hours Spent,Reviews
Time Management Strategies - 25,Master project management techniques and tools.,Arts,Beginner,6 weeks,8,12th,Female,Maharashtra,15,Music,https://www.udemy.com/course/time-management-masterclass/,3.6992325903487107,12,"Not worth the time, the content was outdated."
Project Management Essentials - 26,Improve your communication skills and team collaboration.,Management,Intermediate,6 weeks,4,Undergraduate,Male,Maharashtra,18,Music,https://www.coursera.org/learn/project-management-basics/,3.364878777621596,24,"It felt like a waste of time, not helpful at all."
Project Management Essentials - 27,Master project management techniques and tools.,Management,Beginner,6 weeks,9,Undergraduate,Female,Maharashtra,26,Sports,https://www.coursera.org/learn/project-management-basics/,1.9325482373045935,18,"Not worth the time, the content was outdated."
Time Management Strategies - 28,Improve your communication skills and team collaboration.,Finance,Intermediate,4 weeks,1,Undergraduate,Male,Maharashtra,17,Sleeping,https://www.udemy.com/course/time-management-masterclass/,3.2408787373668657,12,The course was poorly structured and hard to follow.
Digital Marketing Fundamentals - 29,Master project management techniques and tools.,Soft Skills,Intermediate,6 weeks,4,12th,Female,Maharashtra,29,Gaming,https://www.udemy.com/course/digital-marketing-fundamentals/,4.52263646383418,12,Amazing course with great insights!
Financial Literacy Basics - 30,Improve your communication skills and team collaboration.,Health & Wellness,Intermediate,4 weeks,3,Postgraduate,Male,Maharashtra,21,Cooking,https://www.udemy.com/course/financial-literacy-for-beginners/,2.6277855766933613,12,"I regret taking this course, it didn’t provide any value."
Team Building and Collaboration - 31,Master project management techniques and tools.,Finance,Beginner,6 weeks,3,Postgraduate,Male,Maharashtra,15,Dancing,https://www.udemy.com/course/team-building-and-collaboration/,3.4965390433129606,24,"Not worth the time, the content was outdated."
Time Management Strategies - 32,Improve your communication skills and team collaboration.,Soft Skills,Advanced,4 weeks,6,10th,Female,Uttar Pradesh,22,Cooking,https://www.udemy.com/course/time-management-masterclass/,4.694719357985148,12,I feel more confident after completing this course.
Stress Management Techniques - 33,Master project management techniques and tools.,Finance,Advanced,6 weeks,1,Postgraduate,Female,Maharashtra,16,Writing,https://www.udemy.com/course/stress-management-for-beginners/,2.701111470832174,12,I wouldn't recommend this course to anyone.
Critical Thinking and Problem Solving - 34,Improve your communication skills and team collaboration.,Arts,Beginner,6 weeks,1,10th,Female,Maharashtra,23,Sleeping,https://www.coursera.org/learn/critical-thinking-skills/,2.2287759275881034,12,The explanations were unclear and the material was shallow.
Introduction to Graphic Design - 35,Master project management techniques and tools.,Soft Skills,Beginner,4 weeks,7,Postgraduate,Male,Rajasthan,21,Photography,https://www.udemy.com/courses/search/?src=ukw&q=graphic-design,4.732166102586723,12,Highly beneficial and well-structured.
Art of Negotiation - 36,Improve your communication skills and team collaboration.,Soft Skills,Beginner,6 weeks,4,12th,Male,Maharashtra,20,Reading,https://www.coursera.org/learn/negotiation-skills/,4.361003483552668,12,The course didn’t live up to the description at all.
Critical Thinking and Problem Solving - 37,Master project management techniques and tools.,Management,Advanced,2 weeks,8,Postgraduate,Male,Maharashtra,22,Singing,https://www.coursera.org/learn/critical-thinking-skills/,2.0078042883738783,8,The explanations were unclear and the material was shallow.
Introduction to Graphic Design - 38,Improve your communication skills and team collaboration.,Soft Skills,Intermediate,4 weeks,6,12th,Female,Maharashtra,26,Painting,https://www.udemy.com/courses/search/?src=ukw&q=graphic-design,4.357060355519544,16,"It felt like a waste of time, not helpful at all."
Leadership Development - 39,Master project management techniques and tools.,Health & Wellness,Advanced,6 weeks,7,12th,Male,Maharashtra,26,Gardening,https://www.udemy.com/course/leadership-development/,2.7645366250509364,12,"Very disappointing, didn't learn anything new."
Stress Management Techniques - 40,Improve your communication skills and team collaboration.,Finance,Advanced,2 weeks,1,Undergraduate,Male,Delhi,27,Reading,https://www.udemy.com/course/stress-management-for-beginners/,3.2618715995390706,8,The course didn’t live up to the description at all.
Leadership Development - 41,Master project management techniques and tools.,Arts,Intermediate,6 weeks,9,12th,Male,Maharashtra,29,Music,https://www.udemy.com/course/leadership-development/,2.8526874795070283,18,"The instructor wasn't clear, and the material was confusing."
Time Management Strategies - 42,Improve your communication skills and team collaboration.,Soft Skills,Beginner,4 weeks,5,10th,Male,Uttar Pradesh,29,Writing,https://www.udemy.com/course/time-management-masterclass/,4.9216142350879934,12,The instructor explained everything clearly.
Leadership Development - 43,Master project management techniques and tools.,Arts,Intermediate,6 weeks,7,12th,Male,Maharashtra,23,Cooking,https://www.udemy.com/course/leadership-development/,1.7029571411542923,18,"I regret taking this course, it didn’t provide any value."
Personal Branding for Success - 44,Improve your communication skills and team collaboration.,Health & Wellness,Beginner,4 weeks,9,10th,Male,Delhi,28,Painting,https://www.udemy.com/courses/search/?src=ukw&q=personal+branding,1.8379438071140788,16,"Terrible experience, didn't cover the necessary topics."
Digital Marketing Fundamentals - 45,Master project management techniques and tools.,Management,Beginner,2 weeks,7,12th,Male,Maharashtra,30,Painting,https://www.udemy.com/course/digital-marketing-fundamentals/,2.3291869203693434,8,"I couldn't finish the course, it was too dry and uninteresting."
Creative Writing Workshop - 46,Improve your communication skills and team collaboration.,Finance,Intermediate,2 weeks,1,10th,Male,Maharashtra,24,Sports,https://www.udemy.com/course/creative-writing-workshop/,3.107718674883441,8,"The course was a waste of money, not helpful."
Introduction to Graphic Design - 47,Master project management techniques and tools.,Arts,Intermediate,6 weeks,7,12th,Male,Gujarat,29,Reading,https://www.udemy.com/courses/search/?src=ukw&q=graphic-design,3.5863007586681124,12,"Very disappointing, didn't learn anything new."
Digital Marketing Fundamentals - 48,Improve your communication skills and team collaboration.,Soft Skills,Advanced,2 weeks,3,12th,Male,Karnataka,24,Sleeping,https://www.udemy.com/course/digital-marketing-fundamentals/,4.081723032616533,4,The content was too basic and didn't provide any new insights.
Time Management Strategies - 49,Master project management techniques and tools.,Soft Skills,Advanced,2 weeks,5,Postgraduate,Male,Tamil Nadu,15,Music,https://www.udemy.com/course/time-management-masterclass/,4.064871834644597,8,The course was poorly structured and hard to follow.
Personal Branding for Success - 50,Improve your communication skills and team collaboration.,Finance,Advanced,4 weeks,7,Postgraduate,Female,Maharashtra,17,Sports,https://www.udemy.com/courses/search/?src=ukw&q=personal+branding,3.598504629915365,16,"Very disappointing, didn't learn anything new."
Project Management Essentials - 51,Master project management techniques and tools.,Arts,Intermediate,4 weeks,6,Undergraduate,Female,Karnataka,25,Writing,https://www.coursera.org/learn/project-management-basics/,1.0668340288755056,12,"It felt like a waste of time, not helpful at all."
Art of Negotiation - 52,Improve your communication skills and team collaboration.,Management,Beginner,2 weeks,6,Postgraduate,Female,Maharashtra,17,Gaming,https://www.coursera.org/learn/negotiation-skills/,2.7448875887068382,8,"The course was a waste of money, not helpful."
Time Management Strategies - 53,Master project management techniques and tools.,Finance,Intermediate,4 weeks,8,Undergraduate,Female,Uttar Pradesh,16,Singing,https://www.udemy.com/course/time-management-masterclass/,2.091097609557888,8,The course was poorly structured and hard to follow.
Art of Negotiation - 54,Improve your communication skills and team collaboration.,Health & Wellness,Advanced,6 weeks,3,12th,Female,Maharashtra,26,Photography,https://www.coursera.org/learn/negotiation-skills/,1.1783257766067665,18,"Terrible experience, didn't cover the necessary topics."
Project Management Essentials - 55,Master project management techniques and tools.,Management,Advanced,6 weeks,2,Postgraduate,Male,Gujarat,30,Writing,https://www.coursera.org/learn/project-management-basics/,3.785564198548078,12,"Very disappointing, didn't learn anything new."
Time Management Strategies - 56,Improve your communication skills and team collaboration.,Health & Wellness,Beginner,2 weeks,8,12th,Male,Gujarat,23,Cooking,https://www.udemy.com/course/time-management-masterclass/,3.415627945812098,8,"Very disappointing, didn't learn anything new."
Stress Management Techniques - 57,Master project management techniques and tools.,Soft Skills,Beginner,4 weeks,1,12th,Female,Maharashtra,23,Writing,https://www.udemy.com/course/stress-management-for-beginners/,4.248561105209041,12,The content was too basic and didn't provide any new insights.
Stress Management Techniques - 58,Improve your communication skills and team collaboration.,Arts,Advanced,2 weeks,8,Undergraduate,Male,Maharashtra,23,Music,https://www.udemy.com/course/stress-management-for-beginners/,1.9589847397336366,6,"I regret taking this course, it didn’t provide any value."
Financial Literacy Basics - 59,Master project management techniques and tools.,Arts,Advanced,6 weeks,4,Postgraduate,Female,Maharashtra,15,Writing,https://www.udemy.com/course/financial-literacy-for-beginners/,3.5418903649003917,24,"The instructor wasn't clear, and the material was confusing."
Public Speaking Mastery - 60,Improve your communication skills and team collaboration.,Arts,Beginner,2 weeks,7,Postgraduate,Male,Gujarat,21,Reading,https://www.coursera.org/learn/public-speaking/,3.4939035126047067,4,"Terrible experience, didn't cover the necessary topics."
Stress Management Techniques - 61,Master project management techniques and tools.,Finance,Intermediate,2 weeks,8,Postgraduate,Male,Maharashtra,25,Writing,https://www.udemy.com/course/stress-management-for-beginners/,2.5931628398857063,8,"I couldn't finish the course, it was too dry and uninteresting."
Mindfulness and Meditation - 62,Improve your communication skills and team collaboration.,Soft Skills,Intermediate,2 weeks,1,10th,Male,Tamil Nadu,19,Gaming,https://www.coursera.org/search?query=mindfulness-and-wellness,4.419232218020667,6,The content was too basic and didn't provide any new insights.
Effective Communication Skills - 63,Master project management techniques and tools.,Management,Advanced,2 weeks,1,10th,Male,Gujarat,24,Music,https://www.udemy.com/course/effective-communication-skills/,2.98597654658282,4,"I couldn't finish the course, it was too dry and uninteresting."
Financial Literacy Basics - 64,Improve your communication skills and team collaboration.,Health & Wellness,Intermediate,6 weeks,8,Undergraduate,Female,Rajasthan,28,Reading,https://www.udemy.com/course/financial-literacy-for-beginners/,2.089840634524892,24,"It felt like a waste of time, not helpful at all."
Public Speaking Mastery - 65,Master project management techniques and tools.,Health & Wellness,Intermediate,6 weeks,2,Postgraduate,Female,Karnataka,20,Gaming,https://www.coursera.org/learn/public-speaking/,2.073653301536435,12,"Not worth the time, the content was outdated."
Public Speaking Mastery - 66,Improve your communication skills and team collaboration.,Soft Skills,Advanced,2 weeks,8,Undergraduate,Female,Gujarat,24,Cooking,https://www.coursera.org/learn/public-speaking/,4.089215244561936,4,"Not worth the time, the content was outdated."
Effective Communication Skills - 67,Master project management techniques and tools.,Arts,Intermediate,4 weeks,7,12th,Female,Maharashtra,26,Painting,https://www.udemy.com/course/effective-communication-skills/,3.179429213856001,8,The course lacked depth and didn’t meet expectations.
Time Management Strategies - 68,Improve your communication skills and team collaboration.,Health & Wellness,Beginner,2 weeks,1,10th,Male,Maharashtra,23,Photography,https://www.udemy.com/course/time-management-masterclass/,2.808945738581815,8,The course was poorly structured and hard to follow.
Introduction to Graphic Design - 69,Master project management techniques and tools.,Management,Beginner,2 weeks,9,10th,Female,Maharashtra,15,Writing,https://www.udemy.com/courses/search/?src=ukw&q=graphic-design,1.070528980717535,6,The course lacked depth and didn’t meet expectations.
Effective Communication Skills - 70,Improve your communication skills and team collaboration.,Finance,Beginner,4 weeks,3,Undergraduate,Male,Maharashtra,30,Music,https://www.udemy.com/course/effective-communication-skills/,2.704309420629632,12,The explanations were unclear and the material was shallow.
Critical Thinking and Problem Solving - 71,Master project management techniques and tools.,Health & Wellness,Intermediate,2 weeks,1,Postgraduate,Male,Gujarat,21,Gardening,https://www.coursera.org/learn/critical-thinking-skills/,1.6399520409794484,4,The course lacked depth and didn’t meet expectations.
Introduction to Graphic Design - 72,Improve your communication skills and team collaboration.,Arts,Advanced,4 weeks,8,Postgraduate,Female,Delhi,25,Traveling,https://www.udemy.com/courses/search/?src=ukw&q=graphic-design,3.0918260604575423,12,"Very disappointing, didn't learn anything new."
Effective Communication Skills - 73,Master project management techniques and tools.,Health & Wellness,Advanced,2 weeks,6,12th,Male,Gujarat,24,Sports,https://www.udemy.com/course/effective-communication-skills/,3.22648770318785,4,The course lacked depth and didn’t meet expectations.
Time Management Strategies - 74,Improve your communication skills and team collaboration.,Finance,Advanced,2 weeks,6,10th,Male,Karnataka,26,Traveling,https://www.udemy.com/course/time-management-masterclass/,1.2499721135213018,8,"I couldn't finish the course, it was too dry and uninteresting."
Creative Writing Workshop - 75,Master project management techniques and tools.,Health & Wellness,Beginner,6 weeks,4,Postgraduate,Female,Maharashtra,30,Painting,https://www.udemy.com/course/creative-writing-workshop/,3.582435125439758,24,"The course was a waste of money, not helpful."
Effective Communication Skills - 76,Improve your communication skills and team collaboration.,Health & Wellness,Intermediate,4 weeks,7,Undergraduate,Female,Maharashtra,28,Writing,https://www.udemy.com/course/effective-communication-skills/,3.217246145930858,16,"Not worth the time, the content was outdated."
Time Management Strategies - 77,Master project management techniques and tools.,Health & Wellness,Beginner,2 weeks,1,12th,Male,Maharashtra,21,Photography,https://www.udemy.com/course/time-management-masterclass/,3.9643514864842335,8,"Terrible experience, didn't cover the necessary topics."
Financial Literacy Basics - 78,Improve your communication skills and team collaboration.,Arts,Advanced,2 weeks,7,12th,Female,Karnataka,16,Traveling,https://www.udemy.com/course/financial-literacy-for-beginners/,1.2141422092193288,6,"I couldn't finish the course, it was too dry and uninteresting."
Stress Management Techniques - 79,Master project management techniques and tools.,Arts,Advanced,6 weeks,2,12th,Male,Uttar Pradesh,26,Sleeping,https://www.udemy.com/course/stress-management-for-beginners/,3.173575526232563,12,The explanations were unclear and the material was shallow.
Leadership Development - 80,Improve your communication skills and team collaboration.,Management,Beginner,6 weeks,2,10th,Male,Delhi,29,Writing,https://www.udemy.com/course/leadership-development/,2.4617226412184348,12,"The instructor wasn't clear, and the material was confusing."
Financial Literacy Basics - 81,Master project management techniques and tools.,Finance,Advanced,6 weeks,5,Postgraduate,Female,Tamil Nadu,25,Sports,https://www.udemy.com/course/financial-literacy-for-beginners/,1.3918512895808806,12,"The course was a waste of money, not helpful."
Stress Management Techniques - 82,Improve your communication skills and team collaboration.,Health & Wellness,Intermediate,2 weeks,1,10th,Male,Delhi,29,Photography,https://www.udemy.com/course/stress-management-for-beginners/,2.4588921561288872,4,"Very disappointing, didn't learn anything new."
Digital Marketing Fundamentals - 83,Master project management techniques and tools.,Soft Skills,Beginner,2 weeks,9,Postgraduate,Male,Maharashtra,24,Painting,https://www.udemy.com/course/digital-marketing-fundamentals/,4.28858765975541,4,"I couldn't finish the course, it was too dry and uninteresting."
Creative Writing Workshop - 84,Improve your communication skills and team collaboration.,Health & Wellness,Advanced,4 weeks,5,Postgraduate,Male,Maharashtra,23,Photography,https://www.udemy.com/course/creative-writing-workshop/,1.281293234010541,12,"Terrible experience, didn't cover the necessary topics."
Project Management Essentials - 85,Master project management techniques and tools.,Health & Wellness,Intermediate,4 weeks,5,10th,Male,Karnataka,24,Reading,https://www.coursera.org/learn/project-management-basics/,1.7574594545288744,8,"The course was a waste of money, not helpful."
Mindfulness and Meditation - 86,Improve your communication skills and team collaboration.,Finance,Intermediate,4 weeks,1,Postgraduate,Female,Maharashtra,28,Writing,https://www.coursera.org/search?query=mindfulness-and-wellness,2.6401872784909246,16,The course was poorly structured and hard to follow.
Stress Management Techniques - 87,Master project management techniques and tools.,Management,Beginner,2 weeks,3,10th,Male,Maharashtra,28,Reading,https://www.udemy.com/course/stress-management-for-beginners/,2.5691934479096963,6,"The course was a waste of money, not helpful."
Critical Thinking and Problem Solving - 88,Improve your communication skills and team collaboration.,Finance,Advanced,2 weeks,3,Postgraduate,Female,Delhi,22,Sleeping,https://www.coursera.org/learn/critical-thinking-skills/,2.7518822544551136,8,"The course was a waste of money, not helpful."
Effective Communication Skills - 89,Master project management techniques and tools.,Arts,Intermediate,2 weeks,8,Postgraduate,Female,Maharashtra,29,Gaming,https://www.udemy.com/course/effective-communication-skills/,1.9738871571242385,6,The explanations were unclear and the material was shallow.
Financial Literacy Basics - 90,Improve your communication skills and team collaboration.,Management,Intermediate,4 weeks,1,10th,Female,Delhi,17,Sleeping,https://www.udemy.com/course/financial-literacy-for-beginners/,1.2338176031132861,12,"I regret taking this course, it didn’t provide any value."
Mindfulness and Meditation - 91,Master project management techniques and tools.,Arts,Beginner,4 weeks,2,Postgraduate,Male,Maharashtra,18,Photography,https://www.coursera.org/search?query=mindfulness-and-wellness,2.1739716647147125,12,"I couldn't finish the course, it was too dry and uninteresting."
Personal Branding for Success - 92,Improve your communication skills and team collaboration.,Finance,Beginner,4 weeks,8,Undergraduate,Male,Delhi,20,Sports,https://www.udemy.com/courses/search/?src=ukw&q=personal+branding,1.6283464769638696,12,"I regret taking this course, it didn’t provide any value."
Public Speaking Mastery - 93,Master project management techniques and tools.,Soft Skills,Intermediate,6 weeks,5,12th,Female,Maharashtra,28,Traveling,https://www.coursera.org/learn/public-speaking/,4.554399563736336,12,The content was well-organized and useful.
Project Management Essentials - 94,Improve your communication skills and team collaboration.,Arts,Advanced,6 weeks,3,12th,Female,Maharashtra,28,Music,https://www.coursera.org/learn/project-management-basics/,1.7132777431117896,18,"The course was a waste of money, not helpful."
Digital Marketing Fundamentals - 95,Master project management techniques and tools.,Management,Intermediate,4 weeks,5,10th,Female,Karnataka,25,Writing,https://www.udemy.com/course/digital-marketing-fundamentals/,2.698653318703777,12,"Not worth the time, the content was outdated."
Introduction to Graphic Design - 96,Improve your communication skills and team collaboration.,Soft Skills,Beginner,6 weeks,4,Postgraduate,Male,Tamil Nadu,15,Cooking,https://www.udemy.com/courses/search/?src=ukw&q=graphic-design,4.636734538673805,18,This course exceeded my expectations.
Art of Negotiation - 97,Master project management techniques and tools.,Soft Skills,Beginner,6 weeks,3,Undergraduate,Male,Maharashtra,26,Painting,https://www.coursera.org/learn/negotiation-skills/,4.237407321603672,12,"The course was a waste of money, not helpful."
Critical Thinking and Problem Solving - 98,Improve your communication skills and team collaboration.,Health & Wellness,Intermediate,6 weeks,6,Undergraduate,Female,Maharashtra,17,Sleeping,https://www.coursera.org/learn/critical-thinking-skills/,1.4172619116464094,24,"I regret taking this course, it didn’t provide any value."
Digital Marketing Fundamentals - 99,Master project management techniques and tools.,Health & Wellness,Beginner,6 weeks,9,Undergraduate,Male,Gujarat,20,Sleeping,https://www.udemy.com/course/digital-marketing-fundamentals/,2.7754392794164433,18,"The instructor wasn't clear, and the material was confusing."
Stress Management Techniques - 100,Improve your communication skills and team collaboration.,Health & Wellness,Advanced,6 weeks,1,Undergraduate,Female,Gujarat,26,Writing,https://www.udemy.com/course/stress-management-for-beginners/,1.4619458507232819,12,The course was poorly structured and hard to follow.
Mindfulness and Meditation - 101,Master project management techniques and tools.,Finance,Beginner,4 weeks,6,12th,Female,Maharashtra,20,Music,https://www.coursera.org/search?query=mindfulness-and-wellness,1.9868184892633174,16,"Terrible experience, didn't cover the necessary topics."
Financial Literacy Basics - 102,Improve your communication skills and team collaboration.,Health & Wellness,Intermediate,6 weeks,9,12th,Male,Delhi,20,Sleeping,https://www.udemy.com/course/financial-literacy-for-beginners/,3.5147955431704165,18,"I couldn't finish the course, it was too dry and uninteresting."
Leadership Development - 103,Master project management techniques and tools.,Arts,Intermediate,4 weeks,8,Postgraduate,Male,Maharashtra,21,Traveling,https://www.udemy.com/course/leadership-development/,3.2898714962416498,16,"Not worth the time, the content was outdated."
Personal Branding for Success - 104,Improve your communication skills and team collaboration.,Health & Wellness,Intermediate,4 weeks,3,10th,Female,Tamil Nadu,27,Writing,https://www.udemy.com/courses/search/?src=ukw&q=personal+branding,3.3572823706496413,8,The content was too basic and didn't provide any new insights.
Digital Marketing Fundamentals - 105,Master project management techniques and tools.,Arts,Intermediate,4 weeks,4,Postgraduate,Male,Gujarat,25,Singing,https://www.udemy.com/course/digital-marketing-fundamentals/,1.2514029495272467,16,"I regret taking this course, it didn’t provide any value."
Creative Writing Workshop - 106,Improve your communication skills and team collaboration.,Arts,Beginner,6 weeks,5,10th,Female,Delhi,30,Photography,https://www.udemy.com/course/creative-writing-workshop/,2.746096146510859,12,"Terrible experience, didn't cover the necessary topics."
Introduction to Graphic Design - 107,Master project management techniques and tools.,Soft Skills,Beginner,2 weeks,8,10th,Male,Gujarat,24,Sleeping,https://www.udemy.com/courses/search/?src=ukw&q=graphic-design,4.3936755825862726,8,"The course was a waste of money, not helpful."
Personal Branding for Success - 108,Improve your communication skills and team collaboration.,Management,Beginner,6 weeks,1,12th,Female,Maharashtra,28,Painting,https://www.udemy.com/courses/search/?src=ukw&q=personal+branding,1.2579794381088145,24,"Terrible experience, didn't cover the necessary topics."
Leadership Development - 109,Master project management techniques and tools.,Management,Beginner,2 weeks,7,10th,Male,Maharashtra,30,Painting,https://www.udemy.com/course/leadership-development/,1.9600389932282385,6,"Terrible experience, didn't cover the necessary topics."
Mindfulness and Meditation - 110,Improve your communication skills and team collaboration.,Health & Wellness,Advanced,6 weeks,6,Postgraduate,Male,Maharashtra,30,Gardening,https://www.coursera.org/search?query=mindfulness-and-wellness,1.9381066706564984,18,"The instructor wasn't clear, and the material was confusing."
Introduction to Graphic Design - 111,Master project management techniques and tools.,Management,Beginner,4 weeks,8,10th,Female,Gujarat,19,Cooking,https://www.udemy.com/courses/search/?src=ukw&q=graphic-design,2.0025508963767664,12,The course didn’t live up to the description at all.
Creative Writing Workshop - 112,Improve your communication skills and team collaboration.,Arts,Advanced,6 weeks,6,Undergraduate,Female,Maharashtra,24,Reading,https://www.udemy.com/course/creative-writing-workshop/,1.9837933824776288,18,"Not worth the time, the content was outdated."
Leadership Development - 113,Master project management techniques and tools.,Soft Skills,Intermediate,4 weeks,6,Undergraduate,Female,Maharashtra,26,Gardening,https://www.udemy.com/course/leadership-development/,4.202028566633256,12,"I regret taking this course, it didn’t provide any value."
Mindfulness and Meditation - 114,Improve your communication skills and team collaboration.,Finance,Advanced,2 weeks,2,Undergraduate,Male,Maharashtra,27,Reading,https://www.coursera.org/search?query=mindfulness-and-wellness,3.6304795789992843,4,"I couldn't finish the course, it was too dry and uninteresting."
Effective Communication Skills - 115,Master project management techniques and tools.,Arts,Beginner,6 weeks,4,10th,Female,Maharashtra,18,Photography,https://www.udemy.com/course/effective-communication-skills/,3.1652121328990868,18,"I regret taking this course, it didn’t provide any value."
