Course Title,Description,Category,Skill Level,Duration,Free Time Hours,Education,Gender,State,Age,Hobby,Course Link,Rating,Hours Spent,Reviews
Docker for Developers - 94,Learn the basics of programming and debugging.,Cybersecurity,Intermediate,2 weeks,1,12th,Female,Gujarat,24,Building Projects,https://www.udemy.com/course/docker-for-developers/,1.7327832592672678,4,The course was not well-organized.
Machine Learning with Python - 95,Master data analysis and visualization techniques.,AI & ML,Intermediate,6 weeks,1,12th,Female,Maharashtra,15,Coding,https://www.udemy.com/course/machine-learning-python/,1.3987989015335738,18,Not suitable for advanced learners.
Introduction to Cloud Computing - 96,Learn the basics of programming and debugging.,Cybersecurity,Advanced,2 weeks,5,10th,Female,Maharashtra,18,Problem Solving,https://www.coursera.org/learn/cloud-computing-basics/,1.8030995941233137,8,The course was not well-organized.
Ethical Hacking Workshop - 97,Master data analysis and visualization techniques.,Web Development,Beginner,4 weeks,4,12th,Male,Tamil Nadu,21,Open Source Contributions,https://www.coursera.org/specializations/ethical-hacking/,3.119928987842268,16,The course was not well-organized.
Advanced Java Programming - 98,Learn the basics of programming and debugging.,Cybersecurity,Beginner,4 weeks,7,12th,Male,Gujarat,25,Reading Tech Blogs,https://www.udemy.com/course/advanced-java/,1.377568822223839,16,The content was outdated and not useful.
AI for Everyone - 99,Master data analysis and visualization techniques.,Web Development,Intermediate,4 weeks,9,10th,Male,Gujarat,17,Watching Tutorials,https://www.coursera.org/learn/ai-for-everyone/,2.749151192043363,8,Disappointed with the lack of practical examples.
Cybersecurity Essentials - 100,Learn the basics of programming and debugging.,Programming,Beginner,4 weeks,7,12th,Male,Gujarat,26,Coding,https://www.coursera.org/specializations/cybersecurity/,3.7994640440270144,12,"Not engaging, could have been more interactive."
Machine Learning with Python - 101,Master data analysis and visualization techniques.,Programming,Beginner,4 weeks,5,Undergraduate,Male,Gujarat,20,Building Projects,https://www.udemy.com/course/machine-learning-python/,3.3461570008121306,12,The course was not well-organized.
Python Programming Basics - 102,Learn the basics of programming and debugging.,Programming,Intermediate,6 weeks,2,10th,Male,Maharashtra,29,Gaming,https://www.udemy.com/course/python-programming/,2.1350230867138538,18,The pace of the course was too slow.
Docker for Developers - 103,Master data analysis and visualization techniques.,Programming,Beginner,4 weeks,8,10th,Male,Maharashtra,27,Building Projects,https://www.udemy.com/course/docker-for-developers/,2.3537852695302623,12,"Not engaging, could have been more interactive."
Introduction to Data Science - 104,Learn the basics of programming and debugging.,Cybersecurity,Intermediate,4 weeks,8,Postgraduate,Female,Delhi,28,Watching Tutorials,https://www.coursera.org/learn/intro-to-data-science/,3.630280771348678,12,The exercises were not challenging enough.
Data Visualization with Tableau - 105,Master data analysis and visualization techniques.,AI & ML,Beginner,2 weeks,3,12th,Male,Maharashtra,19,Open Source Contributions,https://www.udemy.com/course/data-visualization-tableau/,3.274171574814,6,Not suitable for advanced learners.
Data Visualization with Tableau - 106,Learn the basics of programming and debugging.,Programming,Advanced,6 weeks,6,10th,Female,Gujarat,22,Reading Tech Blogs,https://www.udemy.com/course/data-visualization-tableau/,1.2127901908997227,12,The course lacked advanced content as promised.
Data Visualization with Tableau - 107,Master data analysis and visualization techniques.,Web Development,Advanced,4 weeks,5,Undergraduate,Female,Uttar Pradesh,16,Coding,https://www.udemy.com/course/data-visualization-tableau/,2.7601581197464347,16,Poor quality videos and unclear explanations.
Ethical Hacking Workshop - 108,Learn the basics of programming and debugging.,Web Development,Advanced,2 weeks,6,Postgraduate,Female,Maharashtra,16,Tech Meetups,https://www.coursera.org/specializations/ethical-hacking/,1.720589275531648,4,Too basic and not enough depth.
Machine Learning with Python - 109,Master data analysis and visualization techniques.,Programming,Intermediate,6 weeks,6,12th,Male,Karnataka,23,Watching Tutorials,https://www.udemy.com/course/machine-learning-python/,2.5665672969689437,24,The course lacked advanced content as promised.
Cybersecurity Essentials - 110,Learn the basics of programming and debugging.,Data Science,Intermediate,4 weeks,5,Postgraduate,Male,Maharashtra,30,Building Projects,https://www.coursera.org/specializations/cybersecurity/,4.116502085469271,8,The course lacked advanced content as promised.
Cybersecurity Essentials - 111,Master data analysis and visualization techniques.,AI & ML,Advanced,4 weeks,7,12th,Female,Maharashtra,26,Building Projects,https://www.coursera.org/specializations/cybersecurity/,3.66087742389911,8,The content was outdated and not useful.
AI for Everyone - 112,Learn the basics of programming and debugging.,AI & ML,Beginner,4 weeks,1,Postgraduate,Female,Tamil Nadu,22,Coding,https://www.coursera.org/learn/ai-for-everyone/,3.231835379196894,8,Poor quality videos and unclear explanations.
Introduction to Cloud Computing - 113,Master data analysis and visualization techniques.,Cybersecurity,Advanced,6 weeks,8,10th,Female,Tamil Nadu,25,Open Source Contributions,https://www.coursera.org/learn/cloud-computing-basics/,2.22064543836096,12,The content was outdated and not useful.
Docker for Developers - 114,Learn the basics of programming and debugging.,AI & ML,Beginner,4 weeks,6,Postgraduate,Male,Tamil Nadu,27,Problem Solving,https://www.udemy.com/course/docker-for-developers/,2.2599023321780844,8,Not suitable for advanced learners.
SQL for Data Analysis - 115,Master data analysis and visualization techniques.,Web Development,Beginner,6 weeks,8,12th,Male,Gujarat,17,Problem Solving,https://www.coursera.org/learn/sql-for-data-science/,1.5849898541902332,12,Too basic and not enough depth.
AI for Everyone - 116,Learn the basics of programming and debugging.,Web Development,Intermediate,6 weeks,2,10th,Male,Maharashtra,22,Building Projects,https://www.coursera.org/learn/ai-for-everyone/,3.6423121454095786,18,Disappointed with the lack of practical examples.
Data Visualization with Tableau - 117,Master data analysis and visualization techniques.,Programming,Intermediate,6 weeks,2,10th,Male,Maharashtra,18,Gaming,https://www.udemy.com/course/data-visualization-tableau/,1.9055094172539635,24,The course was not well-organized.
